Make,Model,yearVeh,occRole,dvcat,dead,injSeverity,ADAS/ADS Version,Reporting Entity,Operating Entity,City,State,Roadway Type,Lighting,Crash With,Property Damage?,caseid,weight,frontal,airbag,seatbelt,sex,ageOFocc,abcat,deploy,,,,,
Mercedes-Benz,S-Class,2021,driver,Oct-24,alive,0,HYP. 8.0,NVIDIA CORP,Waymo LLC,San Jose,CA ,Street,Daylight,SUV,No,75:95:2,1313.199,0,airbag,belted,f,40,nodeploy,0,,,,,
Tesla,Model Y,2022,pass,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Glendora,CA ,Highway / Freeway,Dawn / Dusk,Passenger Car,Yes,41:48:01,62.011,1,airbag,belted,f,52,deploy,1,,,,,
Tesla,Model X,2016,pass,40-54,alive,1,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Mountain View,CA ,Highway / Freeway,Daylight,Passenger Car,Yes,49:42:01,1662.602,0,airbag,none,m,31,nodeploy,0,,,,,
Tesla,Model X,2020,driver,Oct-24,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Lloyd Harbor,NY ,Unknown,Unknown,Unknown,Yes,0.429884259,733.622,1,none,belted,f,49,unavail,0,,,,,
Tesla,Model Y,2020,driver,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Franklin,KY ,Unknown,Unknown,Unknown,Yes,81:26:02,268.897,1,none,belted,f,24,unavail,0,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Solebury Township,PA ,Unknown,Unknown,Unknown,Yes,41:47:02,48.601,0,none,belted,f,44,unavail,0,,,,,
Tesla,Model Y,2022,driver,Oct-24,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Silverton,OH ,Unknown,Unknown,Unknown,Yes,41:152:1,3618.163,0,airbag,belted,f,71,nodeploy,0,,,,,
Tesla,Model 3,2020,driver,40-54,alive,1,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Argo AI,Burbank,CA ,Unknown,Unknown,Unknown,Yes,0.657662037,129.525,1,airbag,belted,f,46,nodeploy,0,,,,,
Ford,Expedition,2022,driver,40-54,dead,4,Co-Pilot 360 Assist+,Ford Motor Company,Argo AI,Bloomington,MN ,Highway / Freeway,Daylight,SUV,Yes,12:02:01,541.288,1,airbag,belted,m,28,deploy,1,,,,,
Tesla,Model Y,2021,driver,25-39,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Argo AI,Lake Hughes,CA ,Rural Road,Daylight,Pickup Truck,Yes,04:55:02,184.455,0,airbag,none,m,35,nodeploy,0,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Argo AI,Vidor,TX ,Highway / Freeway,Daylight,Unknown,Yes,74:107:2,509.489,1,none,none,m,19,unavail,0,,,,,
Mercedes-Benz,S-Class,2021,driver,Oct-24,alive,2,HYP 8.0,NVIDIA CORP,Cruise LLC,San Jose,CA ,Street,Daylight,SUV,No,43:84:1,1346.611,1,none,belted,f,49,unavail,0,,,,,
Toyota,RAV4 HV,2022,driver,Oct-24,alive,0,ADAS L2,Toyota Motor Engineering & Manufacturing,Cruise LLC,Catonsville,MD ,Highway / Freeway,Unknown,Unknown,Yes,73:187:1,75.801,1,airbag,belted,f,25,nodeploy,0,,,,,
Tesla,Model 3,2020,pass,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Zoox Inc.,Rosemont,IL ,Unknown,Unknown,Unknown,Yes,0.622928241,302.64,0,airbag,belted,m,52,nodeploy,0,,,,,
Volvo,C40,2022,driver,Oct-24,alive,1,Pilot Assist,"Volvo Car USA, LLC",Cruise LLC,Beckett,MA ,Unknown,Unknown,Unknown,Unknown,74:161:2,7.528,0,airbag,belted,f,50,nodeploy,0,,,,,
Jeep,Grand Cherokee Overland 4x4,2022,pass,40-54,alive,0,,"Chrysler (FCA US, LLC)",Cruise LLC,,MI ,Unknown,Daylight,Unknown,Yes,0.236828704,567.458,0,none,none,f,86,unavail,0,,,,,
Tesla,Model S,2022,pass,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Pleasant Grove,CA ,Unknown,Unknown,Unknown,Yes,0.600011574,899.219,1,none,belted,m,20,unavail,0,,,,,
Tesla,Model Y,2021,pass,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","Kodiak Robotics, Inc",Atlanta,GA ,Highway / Freeway,Daylight,SUV,Yes,49:242:1,9.785,1,none,none,m,18,unavail,0,,,,,
Tesla,Model S,2022,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Oak Forest,IL ,Street,Daylight,Unknown,Yes,81:60:2,71.573,1,none,none,f,34,unavail,0,,,,,
Tesla,Model 3,2022,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Cruise LLC,Long Beach,CA ,Highway / Freeway,Daylight,SUV,Yes,0.565300926,194.139,1,none,belted,m,64,unavail,0,,,,,
Tesla,Model Y,2022,pass,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Cruise LLC,Rochester Hills,MI ,Street,Dark - Not Lighted,Unknown,Yes,74:39:01,388.574,1,none,belted,m,29,unavail,0,,,,,
Tesla,Model Y,2020,driver,40-54,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",May Mobility,Orlovista,FL ,Highway / Freeway,Daylight,Other Fixed Object,Yes,72:168:1,4.455,1,airbag,belted,f,61,deploy,1,,,,,
Tesla,Model 3,2018,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Zoox,Whittier,FL ,Highway / Freeway,Daylight,Other Fixed Object,Yes,76:79:1,2265.032,0,none,none,m,16,unavail,0,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Zoox Inc.,Weston,FL ,Highway / Freeway,Daylight,Other Fixed Object,Yes,75:208:2,46.641,1,airbag,belted,m,35,deploy,1,,,,,
Ford,Expedition,2022,driver,25-39,alive,2,Co-Pilot 360 Assist+,Ford Motor Company,Cruise LLC,Bloomington,MN ,Highway / Freeway,Daylight,SUV,Yes,75:109:1,69.093,0,none,belted,f,22,unavail,0,,,,,
Tesla,Model 3,2020,driver,25-39,alive,1,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Zoox,Boca Raton,FL ,Street,Dark - Lighted,Motorcycle,Yes,75:94:1,1082.251,1,none,none,m,16,unavail,0,,,,,
Toyota,Corolla,2021,driver,25-39,alive,1,ADAS L2,Toyota Motor Engineering & Manufacturing,Cruise LLC,Goldsboro,NC ,Highway / Freeway,Dark - Not Lighted,Unknown,Yes,82:146:4,26.387,0,airbag,belted,m,42,nodeploy,0,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Zoox Inc.,Pasadena,CA ,Unknown,Unknown,Unknown,Yes,0.600023148,168.838,1,none,none,f,19,unavail,0,,,,,
Tesla,Model 3,2020,driver,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","First Transit, Inc.",Dade City,FL ,Unknown,Unknown,Unknown,Yes,02:51:02,145.873,1,airbag,belted,m,42,deploy,1,,,,,
Tesla,Model X,2016,driver,25-39,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Zoox Inc.,Mountain View,CA ,Unknown,Unknown,Unknown,Yes,78:60:2,158.068,1,airbag,none,f,40,deploy,1,,,,,
Tesla,Model Y,2022,driver,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","Kodiak Robotics, Inc.",Philadelphia,PA ,Unknown,Unknown,Unknown,Yes,0.577094907,159.538,1,none,belted,f,52,unavail,0,,,,,
Tesla,Model 3,2019,driver,25-39,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Durham,NC ,Unknown,Unknown,Unknown,Yes,41:19:01,30.393,0,none,belted,m,65,unavail,0,,,,,
Tesla,Model Y,2020,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Zoox Inc.,Eden,WI ,Unknown,Unknown,Unknown,Yes,05:18:01,283.305,1,airbag,none,m,20,deploy,1,,,,,
Tesla,Model Y,2022,driver,Oct-24,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Glendora,CA ,Unknown,Unknown,Unknown,Yes,76:89:1,1491.848,0,airbag,none,m,89,deploy,1,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","First Transit, Inc.",Lake Hughes,CA ,Unknown,Unknown,Unknown,Yes,0.525706019,45.653,0,airbag,none,m,22,deploy,1,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","Kodiak Robotics, Inc.",Vidor,TX ,Unknown,Unknown,Unknown,Yes,0.504884259,36.062,0,airbag,belted,m,53,deploy,1,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","Kodiak Robotics, Inc.",Atlanta,GA ,Unknown,Unknown,Unknown,Unknown,0.657650463,630.992,1,airbag,none,m,41,deploy,1,,,,,
Tesla,Model S,2022,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Oak Forest,IL ,Unknown,Unknown,Unknown,Yes,12:29:02,1600.693,1,none,belted,f,17,unavail,0,,,,,
Toyota,RAV4 HV,2022,pass,25-39,alive,0,ADAS L2,Toyota Motor Engineering & Manufacturing,Waymo LLC,Catonsville,MD ,Highway / Freeway,Unknown,Unknown,Yes,75:97:2,45.249,1,none,belted,f,74,unavail,0,,,,,
Volvo,C40,2022,driver,25-39,alive,1,Pilot Assist,"Volvo Car USA, LLC",Waymo LLC,Beckett,MA ,Unknown,Unknown,Unknown,Unknown,0.45974537,53.956,0,airbag,belted,m,65,deploy,1,,,,,
Tesla,Model 3,2020,driver,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Charleston,SC ,Highway / Freeway,Daylight,"Other, see Narrative",Yes,49:120:1,6.979,0,none,belted,m,32,unavail,0,,,,,
Tesla,Model Y,2021,driver,25-39,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Glendale,CA ,Highway / Freeway,Daylight,Other Fixed Object,Yes,02:24:01,891.942,1,airbag,belted,f,32,deploy,1,,,,,
Tesla,Model 3,2018,driver,40-54,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Austin,TX ,Highway / Freeway,Daylight,Passenger Car,Yes,48:83:2,683.101,1,airbag,belted,f,21,nodeploy,0,,,,,
Tesla,Model Y,2021,driver,40-54,dead,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Miami,FL ,Highway / Freeway,Dark - Lighted,Other Fixed Object,Yes,73:18:02,144.459,0,airbag,none,m,73,nodeploy,0,,,,,
Tesla,Model Y,2021,driver,40-54,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Brecksville,OH ,Highway / Freeway,Daylight,"Other, see Narrative",Yes,48:101:1,2728.675,1,none,none,m,25,unavail,0,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Cruise LLC,Old Saybrook,CT ,Highway / Freeway,Daylight,Other Fixed Object,Yes,0.272928241,104.892,0,none,none,m,17,unavail,0,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,1,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Cruise LLC,Wadsworth,IL ,Highway / Freeway,Daylight,Passenger Car,Yes,48:87:2,193.794,1,none,belted,f,23,unavail,0,,,,,
Tesla,Model Y,2021,driver,55+,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Cruise LLC,Palm Beach Gardens,FL ,Highway / Freeway,Unknown,Unknown,Yes,79:27:02,134.723,1,airbag,belted,f,39,deploy,1,,,,,
Tesla,Model 3,2022,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Cruise LLC,Long Beach,CA ,Unknown,Unknown,Unknown,Unknown,0.600011574,933.907,0,airbag,belted,m,27,nodeploy,0,,,,,
Tesla,Model Y,2022,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Rochester Hills,MI ,Unknown,Unknown,Unknown,Yes,78:146:1,237.431,1,airbag,belted,f,18,deploy,1,,,,,
Tesla,Model Y,2020,driver,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Orlovista,FL ,Unknown,Unknown,Unknown,Yes,0.931261574,0,1,airbag,belted,f,45,deploy,1,,,,,
Tesla,Model 3,2018,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Osceola County,FL ,Unknown,Unknown,Unknown,Yes,81:71:2,116.217,1,none,belted,m,82,unavail,0,,,,,
Tesla,Model Y,2021,driver,40-54,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",May Mobility,Weston,FL ,Unknown,Unknown,Unknown,Yes,43:173:1,36.032,1,airbag,none,m,36,deploy,1,,,,,
Subaru,Forester,2020,driver,25-39,alive,1,,"Subaru of America, Inc.",Cruise LLC,Mamaroneck,NY ,Highway / Freeway,Daylight,Other Fixed Object,Yes,12:58:01,586.79,0,airbag,belted,f,41,nodeploy,0,,,,,
Tesla,Model 3,2020,driver,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Cruise LLC,Boca Raton,FL ,Unknown,Unknown,Motorcycle,Yes,0.602789352,91.427,1,none,none,m,33,unavail,0,,,,,
Toyota,Corolla,2021,driver,25-39,alive,1,ADAS L2,Toyota Motor Engineering & Manufacturing,Cruise LLC,Goldsboro,NC ,Highway / Freeway,Dark - Not Lighted,Unknown,Yes,03:27:02,476.145,0,none,belted,f,20,unavail,0,,,,,
Tesla,Model 3,2020,driver,Oct-24,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Cruise LLC,Charleston,SC ,Unknown,Unknown,Unknown,Yes,0.608344907,34.053,0,airbag,none,m,25,deploy,1,,,,,
Tesla,Model Y,2021,driver,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLc,Glendale,CA ,Unknown,Unknown,Unknown,Yes,74:12:02,2786.623,1,none,none,m,30,unavail,0,,,,,
Tesla,Model Y,2021,driver,25-39,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Pasadena,CA ,Unknown,Unknown,Unknown,Yes,75:164:1,50.73,0,airbag,none,f,32,deploy,1,,,,,
Tesla,Model 3,2018,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Austin,TX ,Unknown,Unknown,Unknown,Yes,48:21:01,8032.653,0,airbag,belted,f,62,nodeploy,0,,,,,
Tesla,Model 3,2022,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Desert Hot Springs,CA ,Intersection,Daylight,Passenger Car,Yes,48:180:2,194.176,0,none,belted,m,31,unavail,0,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Zoox,Brecksville,OH ,Unknown,Unknown,Unknown,Yes,45:10:01,49.406,1,none,none,f,36,unavail,0,,,,,
Tesla,Model Y,2021,pass,Oct-24,alive,1,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Old Saybrook,CT ,Unknown,Unknown,Unknown,Yes,45:61:1,563.583,1,none,belted,m,37,unavail,0,,,,,
Tesla,Model Y,2021,pass,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","TORC ROBOTICS, INC",Miami,FL ,Unknown,Unknown,Unknown,Yes,45:123:1,45.231,1,none,none,m,22,unavail,0,,,,,
Tesla,Model 3,2018,driver,40-54,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","TORC ROBOTICS, INC",Cary,NC ,Highway / Freeway,Dawn / Dusk,Pole / Tree,Yes,0.627106481,84.157,1,none,belted,f,22,unavail,0,,,,,
Tesla,Model 3,2022,driver,Oct-24,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Kissimmee,FL ,Unknown,Unknown,Unknown,Yes,02:01:02,55.142,1,none,belted,m,17,unavail,0,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Tracy,CA ,Highway / Freeway,Daylight,Passenger Car,Yes,45:06:02,45.248,1,airbag,none,f,38,deploy,1,,,,,
Tesla,Model S,2022,driver,1-9km/h,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Formel D  (Independent Contractor Entity),St. Cloud,FL ,Unknown,Unknown,Unknown,Yes,0.260428241,264.857,0,airbag,belted,m,44,nodeploy,0,,,,,
Tesla,Model 3,2020,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Marcel Vincent-Casiano  (Lucid Independent Contractor),Merrick,NY ,Highway / Freeway,Daylight,Passenger Car,Yes,12:50:01,73.518,1,airbag,belted,m,46,nodeploy,0,,,,,
Tesla,Model Y,2022,driver,Oct-24,alive,1,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","TORC ROBOTICS, INC",North Bethesda,MD ,Unknown,Unknown,Unknown,Yes,0.200023148,33.64,1,airbag,belted,m,31,deploy,1,,,,,
Tesla,Model Y,2021,pass,Oct-24,alive,1,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","TORC ROBOTICS, INC",North Port,FL ,Highway / Freeway,Daylight,Other Fixed Object,Yes,0.648622685,180.423,0,airbag,belted,f,51,nodeploy,0,,,,,
Tesla,Model 3,2020,pass,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.","TORC ROBOTICS, INC",Los Angeles,CA ,Highway / Freeway,Daylight,Unknown,Unknown,82:140:2,4.754,0,none,belted,m,38,unavail,0,,,,,
Tesla,Model Y,2021,driver,40-54,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Wadsworth,IL ,Highway / Freeway,Unknown,Unknown,Yes,11:51:01,1648.787,0,none,belted,f,16,unavail,0,,,,,
Tesla,Model Y,2021,pass,25-39,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Palm Beach Gardens,FL ,Highway / Freeway,Unknown,Unknown,Yes,0.595150463,610.221,0,none,belted,m,28,unavail,0,,,,,
Subaru,Outback,2020,pass,Oct-24,alive,1,,"Subaru of America, Inc.",Waymo LLC,,WV ,Unknown,Daylight,Pole / Tree,Yes,75:127:2,3112.501,1,none,none,f,17,unavail,0,,,,,
Toyota,Sienna HV,2021,driver,25-39,alive,3,ADAS L2,Toyota Motor Engineering & Manufacturing,Waymo LLC,Fairfield,TX ,Highway / Freeway,Unknown,Passenger Car,Yes,0.375717593,64.694,1,airbag,belted,f,38,nodeploy,0,,,,,
Subaru,Forester,2020,driver,Oct-24,alive,1,,"Subaru of America, Inc.","TORC ROBOTICS, INC",Mamaroneck,NY ,Highway / Freeway,Daylight,Other Fixed Object,Yes,79:75:2,4.026,1,airbag,belted,m,29,deploy,1,,,,,
Tesla,Model 3,2018,driver,25-39,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Argo AI,Cary,NC ,Unknown,Unknown,Unknown,Yes,0.642384259,285.545,1,airbag,belted,m,25,deploy,1,,,,,
Tesla,Model 3,2022,driver,Oct-24,alive,0,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Argo AI,Kissimmee,FL ,Unknown,Unknown,Unknown,Yes,43:190:2,519.156,1,airbag,belted,f,77,deploy,1,,,,,
Tesla,Model 3,2020,driver,55+,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Merrick,NY ,Unknown,Unknown,Unknown,Yes,0.641678241,81.996,0,none,none,m,64,unavail,0,,,,,
Tesla,Model S,2022,driver,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,St. Cloud,FL ,Unknown,Unknown,Unknown,Yes,05:56:01,1720.124,1,none,belted,m,33,unavail,0,,,,,
Tesla,Model Y,2021,driver,Oct-24,alive,2,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Zoox,Tracy,CA ,Unknown,Unknown,Unknown,Unknown,0.636122685,241.908,1,airbag,belted,m,48,deploy,1,,,,,
BMW,540i,2022,driver,25-39,alive,1,,"BMW of North America, LLC",Waymo LLC,Watermill,NY ,Highway / Freeway,Unknown,Heavy Truck,No,12:43:01,138.258,0,none,belted,m,29,unavail,0,,,,,
Tesla,Model 3,2020,pass,25-39,alive,3,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Tesla, Inc.",Waymo LLC,Los Angeles,CA ,Unknown,Unknown,Unknown,Unknown,43:164:2,1066.8,1,airbag,belted,f,19,nodeploy,0,,,,,
